Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
10	hadoop217.research.att.com	1759321671.215	     8.764	0	404	1	0	echo export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/power_law.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/9263589860\ --seeds\ 9263589860\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/9263589860/log.txt; eval export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/power_law.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/9263589860\ --seeds\ 9263589860\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/9263589860/log.txt;
14	hadoop186.research.att.com	1759321671.245	     8.753	0	404	1	0	echo export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/power_law.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/7648101510\ --seeds\ 7648101510\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/7648101510/log.txt; eval export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/power_law.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/7648101510\ --seeds\ 7648101510\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/7648101510/log.txt;
18	hadoop198.research.att.com	1759321671.275	     9.412	0	404	1	0	echo export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/power_law.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/7214842310\ --seeds\ 7214842310\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/7214842310/log.txt; eval export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/power_law.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/7214842310\ --seeds\ 7214842310\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_powerlaw_completo/7214842310/log.txt;
27	hadoop183.research.att.com	1759321671.337	 12732.351	0	400	137	0	echo export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/simples.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/1090525961\ --seeds\ 1090525961\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/1090525961/log.txt; eval export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/simples.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/1090525961\ --seeds\ 1090525961\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/1090525961/log.txt;
13	hadoop231.research.att.com	1759321671.238	 14120.091	0	400	137	0	echo export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/simples.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/7648101510\ --seeds\ 7648101510\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/7648101510/log.txt; eval export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/simples.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/7648101510\ --seeds\ 7648101510\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/7648101510/log.txt;
3	hadoop229.research.att.com	1759321671.155	 19142.342	0	400	137	0	echo export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/simples.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/3170702080\ --seeds\ 3170702080\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/3170702080/log.txt; eval export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/simples.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/3170702080\ --seeds\ 3170702080\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/3170702080/log.txt;
25	hadoop233.research.att.com	1759321671.324	 19423.818	0	400	137	0	echo export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/simples.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/1094121244\ --seeds\ 1094121244\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/1094121244/log.txt; eval export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/simples.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/1094121244\ --seeds\ 1094121244\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/1094121244/log.txt;
1	hadoop184.research.att.com	1759321671.139	 20691.996	0	391	137	0	echo export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/simples.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/2700001\ --seeds\ 2700001\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/2700001/log.txt; eval export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/simples.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/2700001\ --seeds\ 2700001\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/2700001/log.txt;
7	hadoop199.research.att.com	1759321671.190	 20783.569	0	400	137	0	echo export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/simples.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/1033592630\ --seeds\ 1033592630\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/1033592630/log.txt; eval export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/simples.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/1033592630\ --seeds\ 1033592630\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/1033592630/log.txt;
15	hadoop220.research.att.com	1759321671.253	 24293.871	0	400	137	0	echo export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/simples.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/1502014705\ --seeds\ 1502014705\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/1502014705/log.txt; eval export\ OMP_NUM_THREADS\=24\ \&\&\ export\ MKL_NUM_THREADS\=24\ \&\&\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python\ /home/cea/projects/gerador_grafos/src/experimentos/simples.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/1502014705\ --seeds\ 1502014705\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/1502014705/log.txt;
