Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
17	hadoop248.research.att.com	1761337370.243	 10536.428	0	596	137	0	echo mkdir\ -p\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/3489403805\ \&\&\ timeout\ --signal\=SIGKILL\ 22h\ bash\ -lc\ \'export\ PYTHONIOENCODING\=UTF-8\;\ export\ OMP_NUM_THREADS\=24\;\ export\ MKL_NUM_THREADS\=24\;\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python3\ -u\ /home/cea/projects/gerador_grafos/src/experimentos/simples.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/3489403805\ --seeds\ 3489403805\ --max_vertices\ 1000000\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/3489403805/log.txt\'; eval mkdir\ -p\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/3489403805\ \&\&\ timeout\ --signal\=SIGKILL\ 22h\ bash\ -lc\ \'export\ PYTHONIOENCODING\=UTF-8\;\ export\ OMP_NUM_THREADS\=24\;\ export\ MKL_NUM_THREADS\=24\;\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python3\ -u\ /home/cea/projects/gerador_grafos/src/experimentos/simples.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/3489403805\ --seeds\ 3489403805\ --max_vertices\ 1000000\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/3489403805/log.txt\';
9	hadoop255.research.att.com	1761337370.192	 10699.328	0	596	137	0	echo mkdir\ -p\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/1127200130\ \&\&\ timeout\ --signal\=SIGKILL\ 22h\ bash\ -lc\ \'export\ PYTHONIOENCODING\=UTF-8\;\ export\ OMP_NUM_THREADS\=24\;\ export\ MKL_NUM_THREADS\=24\;\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python3\ -u\ /home/cea/projects/gerador_grafos/src/experimentos/simples.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/1127200130\ --seeds\ 1127200130\ --max_vertices\ 1000000\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/1127200130/log.txt\'; eval mkdir\ -p\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/1127200130\ \&\&\ timeout\ --signal\=SIGKILL\ 22h\ bash\ -lc\ \'export\ PYTHONIOENCODING\=UTF-8\;\ export\ OMP_NUM_THREADS\=24\;\ export\ MKL_NUM_THREADS\=24\;\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python3\ -u\ /home/cea/projects/gerador_grafos/src/experimentos/simples.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/1127200130\ --seeds\ 1127200130\ --max_vertices\ 1000000\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/1127200130/log.txt\';
5	hadoop288.research.att.com	1761337370.167	 10874.290	0	592	137	0	echo mkdir\ -p\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/795578792\ \&\&\ timeout\ --signal\=SIGKILL\ 22h\ bash\ -lc\ \'export\ PYTHONIOENCODING\=UTF-8\;\ export\ OMP_NUM_THREADS\=24\;\ export\ MKL_NUM_THREADS\=24\;\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python3\ -u\ /home/cea/projects/gerador_grafos/src/experimentos/simples.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/795578792\ --seeds\ 795578792\ --max_vertices\ 1000000\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/795578792/log.txt\'; eval mkdir\ -p\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/795578792\ \&\&\ timeout\ --signal\=SIGKILL\ 22h\ bash\ -lc\ \'export\ PYTHONIOENCODING\=UTF-8\;\ export\ OMP_NUM_THREADS\=24\;\ export\ MKL_NUM_THREADS\=24\;\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python3\ -u\ /home/cea/projects/gerador_grafos/src/experimentos/simples.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/795578792\ --seeds\ 795578792\ --max_vertices\ 1000000\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/795578792/log.txt\';
11	hadoop289.research.att.com	1761337370.205	 11314.136	0	592	137	0	echo mkdir\ -p\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/332728275\ \&\&\ timeout\ --signal\=SIGKILL\ 22h\ bash\ -lc\ \'export\ PYTHONIOENCODING\=UTF-8\;\ export\ OMP_NUM_THREADS\=24\;\ export\ MKL_NUM_THREADS\=24\;\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python3\ -u\ /home/cea/projects/gerador_grafos/src/experimentos/simples.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/332728275\ --seeds\ 332728275\ --max_vertices\ 1000000\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/332728275/log.txt\'; eval mkdir\ -p\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/332728275\ \&\&\ timeout\ --signal\=SIGKILL\ 22h\ bash\ -lc\ \'export\ PYTHONIOENCODING\=UTF-8\;\ export\ OMP_NUM_THREADS\=24\;\ export\ MKL_NUM_THREADS\=24\;\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python3\ -u\ /home/cea/projects/gerador_grafos/src/experimentos/simples.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/332728275\ --seeds\ 332728275\ --max_vertices\ 1000000\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/332728275/log.txt\';
21	hadoop269.research.att.com	1761337370.269	 12112.284	0	596	137	0	echo mkdir\ -p\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/3107219804\ \&\&\ timeout\ --signal\=SIGKILL\ 22h\ bash\ -lc\ \'export\ PYTHONIOENCODING\=UTF-8\;\ export\ OMP_NUM_THREADS\=24\;\ export\ MKL_NUM_THREADS\=24\;\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python3\ -u\ /home/cea/projects/gerador_grafos/src/experimentos/simples.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/3107219804\ --seeds\ 3107219804\ --max_vertices\ 1000000\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/3107219804/log.txt\'; eval mkdir\ -p\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/3107219804\ \&\&\ timeout\ --signal\=SIGKILL\ 22h\ bash\ -lc\ \'export\ PYTHONIOENCODING\=UTF-8\;\ export\ OMP_NUM_THREADS\=24\;\ export\ MKL_NUM_THREADS\=24\;\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python3\ -u\ /home/cea/projects/gerador_grafos/src/experimentos/simples.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/3107219804\ --seeds\ 3107219804\ --max_vertices\ 1000000\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/3107219804/log.txt\';
1	hadoop256.research.att.com	1761337370.141	 12194.774	0	592	137	0	echo mkdir\ -p\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/604827988\ \&\&\ timeout\ --signal\=SIGKILL\ 22h\ bash\ -lc\ \'export\ PYTHONIOENCODING\=UTF-8\;\ export\ OMP_NUM_THREADS\=24\;\ export\ MKL_NUM_THREADS\=24\;\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python3\ -u\ /home/cea/projects/gerador_grafos/src/experimentos/simples.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/604827988\ --seeds\ 604827988\ --max_vertices\ 1000000\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/604827988/log.txt\'; eval mkdir\ -p\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/604827988\ \&\&\ timeout\ --signal\=SIGKILL\ 22h\ bash\ -lc\ \'export\ PYTHONIOENCODING\=UTF-8\;\ export\ OMP_NUM_THREADS\=24\;\ export\ MKL_NUM_THREADS\=24\;\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python3\ -u\ /home/cea/projects/gerador_grafos/src/experimentos/simples.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/604827988\ --seeds\ 604827988\ --max_vertices\ 1000000\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/604827988/log.txt\';
23	hadoop275.research.att.com	1761337370.282	 15350.935	0	592	137	0	echo mkdir\ -p\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/911079554\ \&\&\ timeout\ --signal\=SIGKILL\ 22h\ bash\ -lc\ \'export\ PYTHONIOENCODING\=UTF-8\;\ export\ OMP_NUM_THREADS\=24\;\ export\ MKL_NUM_THREADS\=24\;\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python3\ -u\ /home/cea/projects/gerador_grafos/src/experimentos/simples.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/911079554\ --seeds\ 911079554\ --max_vertices\ 1000000\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/911079554/log.txt\'; eval mkdir\ -p\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/911079554\ \&\&\ timeout\ --signal\=SIGKILL\ 22h\ bash\ -lc\ \'export\ PYTHONIOENCODING\=UTF-8\;\ export\ OMP_NUM_THREADS\=24\;\ export\ MKL_NUM_THREADS\=24\;\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python3\ -u\ /home/cea/projects/gerador_grafos/src/experimentos/simples.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/911079554\ --seeds\ 911079554\ --max_vertices\ 1000000\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/911079554/log.txt\';
27	hadoop251.research.att.com	1761337370.307	 16285.835	0	596	137	0	echo mkdir\ -p\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/3959116112\ \&\&\ timeout\ --signal\=SIGKILL\ 22h\ bash\ -lc\ \'export\ PYTHONIOENCODING\=UTF-8\;\ export\ OMP_NUM_THREADS\=24\;\ export\ MKL_NUM_THREADS\=24\;\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python3\ -u\ /home/cea/projects/gerador_grafos/src/experimentos/simples.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/3959116112\ --seeds\ 3959116112\ --max_vertices\ 1000000\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/3959116112/log.txt\'; eval mkdir\ -p\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/3959116112\ \&\&\ timeout\ --signal\=SIGKILL\ 22h\ bash\ -lc\ \'export\ PYTHONIOENCODING\=UTF-8\;\ export\ OMP_NUM_THREADS\=24\;\ export\ MKL_NUM_THREADS\=24\;\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python3\ -u\ /home/cea/projects/gerador_grafos/src/experimentos/simples.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/3959116112\ --seeds\ 3959116112\ --max_vertices\ 1000000\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/3959116112/log.txt\';
3	hadoop292.research.att.com	1761337370.154	 18179.161	0	596	137	0	echo mkdir\ -p\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/1549035388\ \&\&\ timeout\ --signal\=SIGKILL\ 22h\ bash\ -lc\ \'export\ PYTHONIOENCODING\=UTF-8\;\ export\ OMP_NUM_THREADS\=24\;\ export\ MKL_NUM_THREADS\=24\;\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python3\ -u\ /home/cea/projects/gerador_grafos/src/experimentos/simples.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/1549035388\ --seeds\ 1549035388\ --max_vertices\ 1000000\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/1549035388/log.txt\'; eval mkdir\ -p\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/1549035388\ \&\&\ timeout\ --signal\=SIGKILL\ 22h\ bash\ -lc\ \'export\ PYTHONIOENCODING\=UTF-8\;\ export\ OMP_NUM_THREADS\=24\;\ export\ MKL_NUM_THREADS\=24\;\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python3\ -u\ /home/cea/projects/gerador_grafos/src/experimentos/simples.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/1549035388\ --seeds\ 1549035388\ --max_vertices\ 1000000\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/1549035388/log.txt\';
19	hadoop246.research.att.com	1761337370.256	 18964.237	0	592	137	0	echo mkdir\ -p\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/359655529\ \&\&\ timeout\ --signal\=SIGKILL\ 22h\ bash\ -lc\ \'export\ PYTHONIOENCODING\=UTF-8\;\ export\ OMP_NUM_THREADS\=24\;\ export\ MKL_NUM_THREADS\=24\;\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python3\ -u\ /home/cea/projects/gerador_grafos/src/experimentos/simples.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/359655529\ --seeds\ 359655529\ --max_vertices\ 1000000\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/359655529/log.txt\'; eval mkdir\ -p\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/359655529\ \&\&\ timeout\ --signal\=SIGKILL\ 22h\ bash\ -lc\ \'export\ PYTHONIOENCODING\=UTF-8\;\ export\ OMP_NUM_THREADS\=24\;\ export\ MKL_NUM_THREADS\=24\;\ /home/cea/tools/anaconda3/envs/gerador_grafos/bin/python3\ -u\ /home/cea/projects/gerador_grafos/src/experimentos/simples.py\ --output_dir\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/359655529\ --seeds\ 359655529\ --max_vertices\ 1000000\ \&\>\ /home/cea/projects/gerador_grafos/resultados_experimentos/exp_simples_completo/359655529/log.txt\';
