tipo,descricao,seed,num_vertices,num_arestas,grau_medio,grau_max,ks_stat,alpha_powerlaw,avg_indegree,max_indegree,avg_outdegree,max_outdegree,avg_degree_centrality,max_degree_centrality,avg_pagerank,max_pagerank,tipo_detectado,tipo_correto
0,Simples,6638,1000,1433,3.014,103,0.05607894941162217,2.096767797951655,2.866,82,2.866,82,0.0028688688688688685,0.08208208208208208,0.001,0.02179584064283964,0,True
0,Simples,1590,1000,744,1.496,38,0.07431406329073409,2.6593362344816454,1.488,38,1.488,38,0.0014894894894894892,0.03803803803803804,0.001,0.01527608394044226,0,True
0,Simples,2853,1000,708,1.419,34,0.06555599214276808,2.652739974812846,1.416,34,1.416,34,0.001417417417417417,0.03403403403403403,0.0009999999999999998,0.014394683963587025,0,True
0,Simples,2494,1000,1584,3.533,251,0.026851638998519722,1.9778285529632864,3.168,153,3.168,153,0.003171171171171171,0.15315315315315314,0.001,0.04033034600459287,0,True
0,Simples,7292,1000,673,1.351,13,0.06561784448543873,2.6547726274040766,1.346,13,1.346,13,0.001347347347347347,0.013013013013013013,0.0009999999999999998,0.005813931635882366,0,True
1,Digrafo,3374,1000,2248,2.551,398,0.03586209751719349,2.223359404619556,2.248,238,2.248,234,0.004292292292292292,0.39539539539539537,0.001,0.09689538088338649,1,True
1,Digrafo,5303,1000,1554,1.559,58,0.06024231570635086,2.725354843223032,1.554,56,1.554,55,0.0030930930930930926,0.10710710710710711,0.0009999999999999998,0.03147871753881795,1,True
1,Digrafo,9461,1000,1426,1.431,44,0.09427647606540823,2.700811660081945,1.426,43,1.426,42,0.0028388388388388384,0.08208208208208208,0.0009999999999999998,0.026228318733200893,1,True
1,Digrafo,6275,1000,1525,1.542,36,0.08563394816330994,2.5185925568181,1.525,32,1.525,33,0.003025025025025025,0.06306306306306306,0.0009999999999999998,0.017986416000668703,1,True
1,Digrafo,1196,1000,3126,3.391,164,0.03386600421904429,1.9534358795268454,3.126,119,3.126,109,0.0059619619619619615,0.1881881881881882,0.001,0.03402913439173291,1,True
20,Multigrafo,5288,1000,1660,3.393,234,0.03686478641226254,2.050451143071248,3.32,216,3.32,216,0.003323323323323323,0.21621621621621623,0.0009999999999999998,0.04923259094259742,20,True
