descricao,seed,gamma,num_vertices,num_arestas,tempo_geracao_s,powerlaw_ok,ks_stat,alpha_powerlaw,grau_min,grau_medio,grau_max,grau_std,min_degree_centrality,avg_degree_centrality,max_degree_centrality,std_degree_centrality,min_pagerank,avg_pagerank,max_pagerank,std_pagerank,media_hop,diametro_hop,std_hop,n_communities_lp
Simples,4167,2.73,100,74,0.0412,True,0.0389,2.4717,1,1.48,12,1.5779,0.0101,0.0149,0.1111,0.0142,0.0053,0.01,0.0493,0.0061,4.0545,9,1.831,35
Simples,4168,2.63,100,88,0.0,True,0.0433,2.1134,1,1.76,22,2.8903,0.0101,0.0178,0.1313,0.0212,0.0045,0.01,0.0488,0.0075,3.1806,6,1.0958,34
Digrafo,5052,2.77,100,158,0.0079,True,0.0809,2.9238,1,3.16,8,1.148,0.0,0.0319,0.1212,0.0171,0.0023,0.01,0.0907,0.0126,3.9052,8,1.2342,23
Digrafo,5053,2.7,100,149,0.0,False,0.1357,2.6945,1,2.98,14,1.6154,0.0202,0.0301,0.1212,0.017,0.0017,0.01,0.0506,0.0086,4.3385,10,1.5767,22
Multigrafo,4406,2.14,100,116,0.0019,True,0.047,2.2082,1,2.32,30,4.0188,0.0101,0.0234,0.2424,0.0367,0.0041,0.01,0.0768,0.0111,3.7407,10,1.474,23
Multigrafo,4407,2.23,100,100,0.0022,False,0.1559,2.1755,1,2.0,14,2.3829,0.0101,0.0202,0.1313,0.0219,0.0043,0.01,0.0443,0.0066,4.3942,11,1.9846,34
Multigrafo-Dirigido,7014,2.16,100,287,0.0,True,0.0705,2.3651,1,5.74,17,2.6178,0.0101,0.0576,0.9091,0.0919,0.0017,0.01,0.2303,0.0323,2.5913,5,0.7421,2
Multigrafo-Dirigido,7015,2.12,100,262,0.0028,True,0.0536,2.0041,1,5.24,29,4.8076,0.0202,0.0527,0.2929,0.0545,0.0016,0.01,0.0778,0.0157,2.8418,6,0.8282,3
Pseudografo,5675,2.81,100,71,0.0027,True,0.0223,2.7821,1,1.42,10,1.1393,0.0,0.0143,0.101,0.0121,0.0015,0.01,0.0441,0.0049,2.9159,7,1.3905,38
Pseudografo,5676,2.31,100,93,0.0016,True,0.0406,2.4194,1,1.86,16,1.9615,0.0101,0.0188,0.1515,0.0191,0.0047,0.01,0.0521,0.0069,3.8895,8,1.4315,34
Pseudografo-Dirigido,5550,2.04,100,421,0.0,True,0.0499,1.9805,1,8.42,93,11.1615,0.0202,0.084,0.9394,0.1283,0.0015,0.01,0.1185,0.0199,2.3686,4,0.6457,1
Pseudografo-Dirigido,5551,2.77,100,147,0.0016,True,0.0988,3.2978,1,2.94,11,1.1439,0.0202,0.0295,0.1313,0.0181,0.002,0.01,0.1236,0.0179,4.255,8,1.4475,26
Simples,4476,2.17,1000,1450,0.0062,True,0.0329,2.0776,1,2.9,401,19.8458,0.001,0.0029,0.1932,0.0106,0.0004,0.001,0.0537,0.0029,3.4152,8,0.9872,202
Simples,4477,2.66,1000,775,0.0044,True,0.0478,2.4831,1,1.55,37,2.2489,0.0,0.0016,0.036,0.0021,0.0002,0.001,0.015,0.0009,5.9074,15,2.1236,348
Digrafo,1764,2.47,1000,1854,0.0067,True,0.0507,2.345,1,3.708,83,3.6625,0.002,0.0037,0.0731,0.0045,0.0002,0.001,0.0274,0.0018,4.5256,10,1.1762,226
Digrafo,1765,2.79,1000,1693,0.0124,True,0.0697,2.904,1,3.386,28,1.6292,0.0,0.0034,0.2983,0.0096,0.0002,0.001,0.1357,0.0075,4.0413,9,1.2675,154
