descricao,seed,gamma,num_vertices,num_arestas,tempo_geracao_s,powerlaw_ok,ks_stat,alpha_powerlaw,grau_min,grau_medio,grau_max,grau_std,min_degree_centrality,avg_degree_centrality,max_degree_centrality,std_degree_centrality,min_pagerank,avg_pagerank,max_pagerank,std_pagerank,media_hop,diametro_hop,std_hop,n_communities_lp
Simples,9381,2.31,100,78,0.0255,True,0.0575,2.6118,1,1.56,12,1.4854,0.0101,0.0158,0.1212,0.015,0.0049,0.01,0.0485,0.0058,3.2439,7,1.3988,35
Simples,9382,2.62,100,82,0.0,True,0.071,2.1303,1,1.64,22,3.2277,0.0,0.0166,0.1313,0.021,0.0015,0.01,0.0542,0.0083,3.214,6,1.0454,33
Digrafo,3798,2.2,100,226,0.0049,True,0.0898,2.34,1,4.52,20,2.9166,0.0,0.0451,0.2828,0.0418,0.0016,0.01,0.0842,0.0142,2.9428,6,0.8731,10
Digrafo,3799,2.28,100,237,0.0016,True,0.0693,2.335,1,4.74,79,8.1374,0.0202,0.0479,0.4242,0.0548,0.0023,0.01,0.0871,0.0155,2.7266,5,0.7751,6
Multigrafo,7929,2.97,100,71,0.001,True,0.0258,2.8754,1,1.42,7,0.9274,0.0101,0.0143,0.0707,0.0094,0.0057,0.01,0.0348,0.0043,2.7271,8,1.7131,37
Multigrafo,7930,2.81,100,91,0.002,True,0.075,1.9636,1,1.82,75,7.5669,0.0101,0.0184,0.4949,0.0508,0.0048,0.01,0.1957,0.0198,2.5178,5,0.7685,25
Multigrafo-Dirigido,3819,2.93,100,132,0.0023,False,0.1117,2.9548,1,2.64,6,0.8567,0.0101,0.0259,0.0808,0.013,0.0022,0.01,0.0872,0.0118,5.6471,12,2.0678,28
Multigrafo-Dirigido,3820,2.74,100,165,0.001,True,0.0755,3.3759,1,3.3,5,0.8492,0.0,0.0331,0.1515,0.0204,0.0015,0.01,0.0529,0.0105,3.7453,7,1.1859,24
Pseudografo,7229,2.97,100,60,0.0023,True,0.0603,2.9289,1,1.2,5,0.5896,0.0101,0.0121,0.0505,0.0061,0.0063,0.01,0.0284,0.003,1.3988,3,0.5864,44
Pseudografo,7230,2.87,100,65,0.0,False,0.1203,3.2309,1,1.3,8,0.8495,0.0101,0.0131,0.0808,0.0086,0.0057,0.01,0.0345,0.0035,1.7921,6,1.0466,42
Pseudografo-Dirigido,755,2.38,100,256,0.0025,True,0.0481,2.555,1,5.12,14,2.4305,0.0202,0.0509,0.4747,0.0638,0.0016,0.01,0.1032,0.0186,2.8745,5,0.85,4
Pseudografo-Dirigido,756,2.66,100,182,0.0051,False,0.14,2.0533,1,3.64,20,2.7918,0.0202,0.0368,0.2323,0.0381,0.0016,0.01,0.0836,0.0161,3.2837,7,1.0328,17
Simples,7952,2.82,500,404,0.007,True,0.0472,2.4725,1,1.616,42,2.6737,0.002,0.0032,0.0741,0.0049,0.0009,0.002,0.0294,0.0019,4.6495,12,1.7793,171
Simples,7953,2.5,500,509,0.0157,True,0.0527,2.2312,1,2.036,159,7.9979,0.002,0.0041,0.2084,0.011,0.0008,0.002,0.0747,0.0038,3.5848,8,1.0892,138
Digrafo,4102,2.4,500,1001,0.0089,True,0.0688,2.2654,1,4.004,65,3.9463,0.004,0.008,0.1222,0.0092,0.0003,0.002,0.0298,0.0037,4.014,8,1.0462,70
Digrafo,4103,2.41,500,1103,0.0,True,0.0728,2.3418,1,4.412,157,7.9274,0.002,0.0088,0.2385,0.0148,0.0003,0.002,0.065,0.0061,3.4739,7,0.9207,70
Multigrafo,8732,2.5,500,420,0.002,True,0.0539,2.5434,1,1.68,48,2.6367,0.002,0.0034,0.0922,0.0051,0.0009,0.002,0.034,0.0019,5.3913,15,2.159,173
Multigrafo,8733,2.52,500,429,0.0,True,0.0472,2.4958,1,1.716,35,2.1689,0.002,0.0034,0.0701,0.0043,0.0009,0.002,0.0285,0.0017,5.6222,13,2.2362,158
Multigrafo-Dirigido,536,2.03,500,2132,0.0111,True,0.0895,2.187,1,8.528,143,8.5762,0.004,0.017,0.479,0.0404,0.0003,0.002,0.0972,0.0079,2.7299,5,0.6522,2
Multigrafo-Dirigido,537,2.81,500,862,0.0,True,0.0835,2.4517,1,3.448,58,4.1046,0.004,0.0069,0.1182,0.0085,0.0003,0.002,0.0143,0.0024,4.4766,10,1.3003,103
Pseudografo,5071,2.06,500,744,0.0,True,0.0448,2.0345,1,2.976,99,7.2414,0.002,0.006,0.1984,0.0145,0.0007,0.002,0.0475,0.0035,3.6735,8,0.9862,116
Pseudografo,5072,2.41,500,455,0.0157,True,0.0843,2.4444,1,1.82,50,3.3402,0.002,0.0036,0.1002,0.0067,0.0009,0.002,0.0347,0.0023,4.5496,11,1.5332,163
Pseudografo-Dirigido,1661,2.6,500,834,0.0072,True,0.0403,2.3089,1,3.336,48,2.7551,0.002,0.0067,0.1343,0.0074,0.0003,0.002,0.0314,0.0027,4.7161,11,1.3853,117
Pseudografo-Dirigido,1662,2.77,500,871,0.016,True,0.0764,2.5022,1,3.484,103,4.8659,0.004,0.007,0.2084,0.0102,0.0003,0.002,0.0655,0.0047,4.3262,9,1.2387,97
