descricao,num_vertices,media_gamma,std_gamma,media_num_arestas,std_num_arestas,media_tempo_geracao_s,std_tempo_geracao_s,media_ks_stat,std_ks_stat,media_alpha_powerlaw,std_alpha_powerlaw,media_grau_min,std_grau_min,media_grau_medio,std_grau_medio,media_grau_max,std_grau_max,media_grau_std,std_grau_std,media_min_degree_centrality,std_min_degree_centrality,media_avg_degree_centrality,std_avg_degree_centrality,media_max_degree_centrality,std_max_degree_centrality,media_std_degree_centrality,std_std_degree_centrality,media_min_pagerank,std_min_pagerank,media_avg_pagerank,std_avg_pagerank,media_max_pagerank,std_max_pagerank,media_std_pagerank,std_std_pagerank,media_media_hop,std_media_hop,media_std_hop,std_std_hop,media_n_communities_lp,std_n_communities_lp,pct_powerlaw_ok
Simples,100,2.68,0.05,81.0,7.0,0.0206,0.0206,0.0411,0.0022,2.2926,0.1791,1.0,0.0,1.62,0.14,17.0,5.0,2.2341,0.6562,0.0101,0.0,0.0164,0.0014,0.1212,0.0101,0.0177,0.0035,0.0049,0.0004,0.01,0.0,0.049,0.0002,0.0068,0.0007,3.6176,0.4369,1.4634,0.3676,34.5,0.5,100.0
Digrafo,100,2.735,0.035,153.5,4.5,0.004,0.004,0.1083,0.0274,2.8091,0.1146,1.0,0.0,3.07,0.09,11.0,3.0,1.3817,0.2337,0.0101,0.0101,0.031,0.0009,0.1212,0.0,0.0171,0.0,0.002,0.0003,0.01,0.0,0.0706,0.0201,0.0106,0.002,4.1218,0.2166,1.4054,0.1713,22.5,0.5,50.0
Multigrafo,100,2.185,0.045,108.0,8.0,0.002,0.0002,0.1015,0.0544,2.1918,0.0164,1.0,0.0,2.16,0.16,22.0,8.0,3.2008,0.818,0.0101,0.0,0.0218,0.0016,0.1869,0.0556,0.0293,0.0074,0.0042,0.0001,0.01,0.0,0.0605,0.0162,0.0088,0.0023,4.0674,0.3267,1.7293,0.2553,28.5,5.5,50.0
Multigrafo-Dirigido,100,2.14,0.02,274.5,12.5,0.0014,0.0014,0.062,0.0084,2.1846,0.1805,1.0,0.0,5.49,0.25,23.0,6.0,3.7127,1.0949,0.0152,0.005,0.0552,0.0025,0.601,0.3081,0.0732,0.0187,0.0016,0.0,0.01,0.0,0.154,0.0762,0.024,0.0083,2.7165,0.1253,0.7852,0.0431,2.5,0.5,100.0
Pseudografo,100,2.56,0.25,82.0,11.0,0.0022,0.0006,0.0314,0.0091,2.6007,0.1813,1.0,0.0,1.64,0.22,13.0,3.0,1.5504,0.4111,0.005,0.005,0.0166,0.0023,0.1262,0.0252,0.0156,0.0035,0.0031,0.0016,0.01,0.0,0.0481,0.004,0.0059,0.001,3.4027,0.4868,1.411,0.0205,36.0,2.0,100.0
Pseudografo-Dirigido,100,2.405,0.365,284.0,137.0,0.0008,0.0008,0.0744,0.0244,2.6392,0.6587,1.0,0.0,5.68,2.74,52.0,41.0,6.1527,5.0088,0.0202,0.0,0.0568,0.0273,0.5354,0.404,0.0732,0.0551,0.0018,0.0002,0.01,0.0,0.121,0.0026,0.0189,0.001,3.3118,0.9432,1.0466,0.4009,13.5,12.5,100.0
Simples,1000,2.415,0.245,1112.5,337.5,0.0053,0.0009,0.0403,0.0075,2.2804,0.2027,1.0,0.0,2.225,0.675,219.0,182.0,11.0474,8.7984,0.0005,0.0005,0.0022,0.0006,0.1146,0.0786,0.0064,0.0042,0.0003,0.0001,0.001,0.0,0.0344,0.0194,0.0019,0.001,4.6613,1.2461,1.5554,0.5682,275.0,73.0,100.0
Digrafo,1000,2.63,0.16,1773.5,80.5,0.0096,0.0028,0.0602,0.0095,2.6245,0.2795,1.0,0.0,3.547,0.161,55.5,27.5,2.6459,1.0166,0.001,0.001,0.0036,0.0002,0.1857,0.1126,0.007,0.0025,0.0002,0.0,0.001,0.0,0.0816,0.0541,0.0046,0.0028,4.2834,0.2422,1.2218,0.0457,190.0,36.0,100.0
Multigrafo,1000,2.43,0.26,932.0,198.0,0.0134,0.0114,0.0346,0.0065,2.3872,0.1727,1.0,0.0,1.864,0.396,52.5,20.5,3.0543,1.2275,0.001,0.0,0.0019,0.0004,0.0495,0.0195,0.003,0.0012,0.0004,0.0,0.001,0.0,0.0166,0.0046,0.0009,0.0002,5.2493,0.7907,1.8349,0.5985,323.5,35.5,100.0
Multigrafo-Dirigido,1000,2.515,0.035,1923.0,119.0,0.0392,0.0251,0.049,0.0106,2.4874,0.0287,1.0,0.0,3.846,0.238,75.0,32.0,3.9874,1.3106,0.001,0.001,0.0038,0.0003,0.0826,0.0255,0.0055,0.0016,0.0002,0.0,0.001,0.0,0.0254,0.0034,0.0024,0.0003,4.4548,0.3791,1.1604,0.0997,210.0,19.0,100.0
