descricao,num_vertices,media_gamma,std_gamma,media_num_arestas,std_num_arestas,media_tempo_geracao_s,std_tempo_geracao_s,media_ks_stat,std_ks_stat,media_alpha_powerlaw,std_alpha_powerlaw,media_grau_min,std_grau_min,media_grau_medio,std_grau_medio,media_grau_max,std_grau_max,media_grau_std,std_grau_std,media_min_degree_centrality,std_min_degree_centrality,media_avg_degree_centrality,std_avg_degree_centrality,media_max_degree_centrality,std_max_degree_centrality,media_std_degree_centrality,std_std_degree_centrality,media_min_pagerank,std_min_pagerank,media_avg_pagerank,std_avg_pagerank,media_max_pagerank,std_max_pagerank,media_std_pagerank,std_std_pagerank,media_media_hop,std_media_hop,media_std_hop,std_std_hop,media_n_communities_lp,std_n_communities_lp,pct_powerlaw_ok
Simples,100,2.465,0.155,80.0,2.0,0.0127,0.0127,0.0642,0.0067,2.3711,0.2408,1.0,0.0,1.6,0.04,17.0,5.0,2.3566,0.8712,0.005,0.005,0.0162,0.0004,0.1262,0.005,0.018,0.003,0.0032,0.0017,0.01,0.0,0.0514,0.0028,0.007,0.0013,3.229,0.015,1.2221,0.1767,34.0,1.0,100.0
Digrafo,100,2.24,0.04,231.5,5.5,0.0032,0.0016,0.0796,0.0103,2.3375,0.0025,1.0,0.0,4.63,0.11,49.5,29.5,5.527,2.6104,0.0101,0.0101,0.0465,0.0014,0.3535,0.0707,0.0483,0.0065,0.002,0.0003,0.01,0.0,0.0856,0.0014,0.0148,0.0006,2.8347,0.1081,0.8241,0.049,8.0,2.0,100.0
Multigrafo,100,2.89,0.08,81.0,10.0,0.0015,0.0005,0.0504,0.0246,2.4195,0.4559,1.0,0.0,1.62,0.2,41.0,34.0,4.2472,3.3198,0.0101,0.0,0.0164,0.002,0.2828,0.2121,0.0301,0.0207,0.0052,0.0005,0.01,0.0,0.1152,0.0805,0.0121,0.0078,2.6224,0.1047,1.2408,0.4723,31.0,6.0,100.0
Multigrafo-Dirigido,100,2.835,0.095,148.5,16.5,0.0016,0.0006,0.0936,0.0181,3.1654,0.2106,1.0,0.0,2.97,0.33,5.5,0.5,0.853,0.0038,0.005,0.005,0.0295,0.0036,0.1162,0.0354,0.0167,0.0037,0.0018,0.0004,0.01,0.0,0.07,0.0172,0.0112,0.0006,4.6962,0.9509,1.6269,0.441,26.0,2.0,50.0
Pseudografo,100,2.92,0.05,62.5,2.5,0.0012,0.0012,0.0903,0.03,3.0799,0.151,1.0,0.0,1.25,0.05,6.5,1.5,0.7196,0.13,0.0101,0.0,0.0126,0.0005,0.0656,0.0151,0.0074,0.0012,0.006,0.0003,0.01,0.0,0.0315,0.0031,0.0032,0.0002,1.5954,0.1966,0.8165,0.2301,43.0,1.0,50.0
Pseudografo-Dirigido,100,2.52,0.14,219.0,37.0,0.0038,0.0013,0.0941,0.046,2.3042,0.2508,1.0,0.0,4.38,0.74,17.0,3.0,2.6112,0.1806,0.0202,0.0,0.0438,0.007,0.3535,0.1212,0.0509,0.0128,0.0016,0.0,0.01,0.0,0.0934,0.0098,0.0173,0.0012,3.0791,0.2046,0.9414,0.0914,10.5,6.5,50.0
Simples,500,2.66,0.16,456.5,52.5,0.0113,0.0044,0.0499,0.0027,2.3518,0.1207,1.0,0.0,1.826,0.21,100.5,58.5,5.3358,2.6621,0.002,0.0,0.0037,0.0005,0.1412,0.0672,0.0079,0.003,0.0008,0.0,0.002,0.0,0.052,0.0227,0.0028,0.001,4.1172,0.5323,1.4342,0.3451,154.5,16.5,100.0
Digrafo,500,2.405,0.005,1052.0,51.0,0.0044,0.0044,0.0708,0.002,2.3036,0.0382,1.0,0.0,4.208,0.204,111.0,46.0,5.9368,1.9906,0.003,0.001,0.0084,0.0004,0.1804,0.0581,0.012,0.0028,0.0003,0.0,0.002,0.0,0.0474,0.0176,0.0049,0.0012,3.744,0.2701,0.9834,0.0628,70.0,0.0,100.0
Multigrafo,500,2.51,0.01,424.5,4.5,0.001,0.001,0.0506,0.0034,2.5196,0.0238,1.0,0.0,1.698,0.018,41.5,6.5,2.4028,0.2339,0.002,0.0,0.0034,0.0,0.0812,0.0111,0.0047,0.0004,0.0009,0.0,0.002,0.0,0.0312,0.0028,0.0018,0.0001,5.5068,0.1155,2.1976,0.0386,165.5,7.5,100.0
Multigrafo-Dirigido,500,2.42,0.39,1497.0,635.0,0.0056,0.0056,0.0865,0.003,2.3194,0.1324,1.0,0.0,5.988,2.54,100.5,42.5,6.3404,2.2358,0.004,0.0,0.012,0.0051,0.2986,0.1804,0.0244,0.016,0.0003,0.0,0.002,0.0,0.0557,0.0414,0.0052,0.0028,3.6032,0.8734,0.9762,0.324,52.5,50.5,100.0
Pseudografo,500,2.235,0.175,599.5,144.5,0.0078,0.0078,0.0646,0.0198,2.2394,0.2049,1.0,0.0,2.398,0.578,74.5,24.5,5.2908,1.9506,0.002,0.0,0.0048,0.0012,0.1493,0.0491,0.0106,0.0039,0.0008,0.0001,0.002,0.0,0.0411,0.0064,0.0029,0.0006,4.1116,0.438,1.2597,0.2735,139.5,23.5,100.0
Pseudografo-Dirigido,500,2.685,0.085,852.5,18.5,0.0116,0.0044,0.0584,0.018,2.4056,0.0967,1.0,0.0,3.41,0.074,75.5,27.5,3.8105,1.0554,0.003,0.001,0.0068,0.0001,0.1714,0.037,0.0088,0.0014,0.0003,0.0,0.002,0.0,0.0484,0.0171,0.0037,0.001,4.5212,0.1949,1.312,0.0733,107.0,10.0,100.0
