vertices,tipo,descricao,execucao,seed,num_componentes_esperado,densidade_preferida,tempo_geracao_s,grau_medio,grau_max,num_arestas,avg_degree_centrality,max_degree_centrality,avg_pagerank,max_pagerank,media_hop,diametro_hop,n_communities_lp,tipo_detectado,tipo_ok,num_componentes
100,0,Simples,1,1133,1,2,0.0109,59.8,72,4605,0.604,0.7273,0.01,0.0117,1.3947,2,1,20,False,-1
100,0,Simples,2,1134,1,2,0.0091,60.02,70,4539,0.6063,0.7071,0.01,0.0114,1.3872,2,1,20,False,-1
100,0,Simples,3,1135,1,0,0.0077,57.3,67,4353,0.5788,0.6768,0.01,0.0114,1.4155,2,1,20,False,-1
100,1,Digrafo,1,920,0,0,0.0053,14.04,23,702,0.136,0.2323,0.01,0.0205,1.9957,3,2,1,True,-1
100,1,Digrafo,2,921,0,1,0.0,10.28,17,514,0.1012,0.1717,0.01,0.0228,2.2367,4,1,1,True,-1
100,1,Digrafo,3,922,2,0,0.002,14.84,40,871,0.1305,0.3333,0.01,0.0194,2.5925,7,12,21,False,2
100,20,Multigrafo,1,525,0,1,0.001,14.36,22,780,0.1451,0.2222,0.01,0.0145,1.9629,3,1,20,True,-1
100,20,Multigrafo,2,526,0,0,0.0045,37.88,50,2399,0.3826,0.5051,0.01,0.0127,1.6173,2,1,20,True,-1
100,20,Multigrafo,3,527,0,0,0.0,14.46,24,773,0.1461,0.2424,0.01,0.0157,1.9713,3,1,20,True,-1
100,21,Multigrafo-Dirigido,1,2811,2,0,0.0127,63.08,91,5171,0.4297,0.5657,0.01,0.0125,1.1499,2,2,21,True,2
100,21,Multigrafo-Dirigido,2,2812,0,0,0.0023,20.1,32,1062,0.1935,0.2929,0.01,0.0177,1.8303,3,1,21,True,-1
100,21,Multigrafo-Dirigido,3,2813,0,2,0.0153,122.34,144,9471,0.8467,0.9394,0.01,0.0116,1.1539,2,1,21,True,-1
100,30,Pseudografo,1,6349,0,0,0.0041,36.26,47,2260,0.3663,0.4747,0.01,0.0126,1.6304,2,1,30,True,-1
100,30,Pseudografo,2,6350,1,1,0.001,12.42,20,658,0.1255,0.202,0.01,0.0152,2.0711,3,1,30,True,-1
100,30,Pseudografo,3,6351,2,1,0.002,11.48,19,653,0.116,0.1919,0.01,0.0151,1.8373,3,2,30,True,2
100,31,Pseudografo-Dirigido,1,1167,2,1,0.0,29.94,42,1823,0.2572,0.3434,0.01,0.0141,1.5016,2,2,31,True,2
100,31,Pseudografo-Dirigido,2,1168,0,2,0.0162,122.08,140,9354,0.86,0.9293,0.01,0.0121,1.1573,2,1,31,True,-1
100,31,Pseudografo-Dirigido,3,1169,1,1,0.0,20.8,32,1098,0.1986,0.2929,0.01,0.0179,1.8271,3,1,31,True,-1
200,0,Simples,1,9740,0,0,13.8739,191.95,197,19195,0.9646,0.9899,0.005,0.0051,1.0348,2,1,0,True,-1
200,0,Simples,2,9741,0,1,0.0594,22.82,38,2282,0.1147,0.191,0.005,0.0079,1.9488,3,1,0,True,-1
200,0,Simples,3,9742,0,0,0.0129,10.39,19,1039,0.0522,0.0955,0.005,0.0084,2.5173,4,1,0,True,-1
200,1,Digrafo,1,2762,0,2,22.8268,365.83,378,36583,0.9934,1.0,0.005,0.0052,1.0079,2,1,1,True,-1
200,1,Digrafo,2,2763,1,0,0.0316,147.15,173,18398,0.604,0.6784,0.005,0.0064,1.3996,2,1,21,False,-1
200,1,Digrafo,3,2764,0,0,0.076,37.85,57,3785,0.1819,0.2663,0.005,0.0076,1.8194,3,1,1,True,-1
200,20,Multigrafo,1,4911,2,0,0.0359,84.06,93,18939,0.4224,0.4673,0.005,0.0055,1.1577,2,2,20,True,2
200,20,Multigrafo,2,4912,1,1,0.0161,10.19,20,1051,0.0512,0.1005,0.005,0.0091,2.5115,4,1,20,True,-1
200,20,Multigrafo,3,4913,1,0,0.0056,13.12,22,1354,0.0659,0.1106,0.005,0.0079,2.3409,4,1,20,True,-1
200,21,Multigrafo-Dirigido,1,1696,0,0,0.0457,201.58,228,28149,0.7604,0.8191,0.005,0.0058,1.2353,2,1,21,True,-1
200,21,Multigrafo-Dirigido,2,1697,0,1,0.0,47.4,64,5035,0.2236,0.2915,0.005,0.0072,1.7828,3,1,21,True,-1
200,21,Multigrafo-Dirigido,3,1698,1,0,0.0289,140.03,170,17413,0.5794,0.6734,0.005,0.0059,1.4239,2,1,21,True,-1
200,30,Pseudografo,1,5816,2,2,0.0322,80.75,91,16350,0.4058,0.4573,0.005,0.0056,1.1989,2,2,30,True,2
200,30,Pseudografo,2,5817,0,2,0.0383,118.52,137,17960,0.5956,0.6884,0.005,0.0056,1.4117,2,1,30,True,-1
200,30,Pseudografo,3,5818,1,0,0.0145,23.11,34,2448,0.1161,0.1709,0.005,0.007,1.9525,3,1,30,True,-1
200,31,Pseudografo-Dirigido,1,5563,1,2,0.0616,243.52,266,37716,0.8535,0.9095,0.005,0.0057,1.155,2,1,31,True,-1
200,31,Pseudografo-Dirigido,2,5564,2,2,0.0912,143.01,192,37386,0.4388,0.4874,0.005,0.0059,1.139,2,97,31,True,2
200,31,Pseudografo-Dirigido,3,5565,2,0,0.0,15.12,24,1570,0.0733,0.1156,0.005,0.0088,1.956,3,2,31,True,2
