vertices,tipo,descricao,execucao,seed,num_componentes_esperado,densidade_preferida,tempo_geracao_s,grau_medio,grau_max,num_arestas,avg_degree_centrality,max_degree_centrality,avg_pagerank,max_pagerank,media_hop,diametro_hop,n_communities_lp,tipo_detectado,tipo_ok,num_componentes
20,0,Simples,1,3306,1,0,0.001,9.6,13,138,0.5053,0.6842,0.05,0.065,1.5275,2,1,20,False,-1
20,0,Simples,2,3307,0,0,0.0,10.5,16,105,0.5526,0.8421,0.05,0.0721,1.4425,2,1,0,True,-1
20,1,Digrafo,1,2441,0,0,0.0,19.8,25,198,0.7474,0.8947,0.05,0.0721,1.2725,2,1,1,True,-1
20,1,Digrafo,2,2442,1,1,0.0,6.1,9,67,0.2947,0.4211,0.05,0.0929,1.815,3,1,21,False,-1
20,20,Multigrafo,1,7500,0,1,0.0,2.8,5,30,0.1474,0.2632,0.05,0.0795,2.8925,6,5,20,True,-1
20,20,Multigrafo,2,7501,2,0,0.0,4.4,8,59,0.2316,0.4211,0.05,0.0703,1.9529,6,3,20,True,2
20,21,Multigrafo-Dirigido,1,4840,2,2,0.001,15.1,18,313,0.4632,0.5263,0.05,0.0591,1.026,2,2,21,True,2
20,21,Multigrafo-Dirigido,2,4841,1,2,0.0,22.4,29,331,0.8368,0.9474,0.05,0.0658,1.1375,2,1,21,True,-1
20,30,Pseudografo,1,4582,0,1,0.0,3.4,6,36,0.1789,0.3158,0.05,0.0833,2.445,5,2,30,True,-1
20,30,Pseudografo,2,4583,1,2,0.001,12.2,15,191,0.6421,0.7895,0.05,0.0572,1.3575,2,1,30,True,-1
20,31,Pseudografo-Dirigido,1,6505,1,2,0.0,22.6,28,342,0.8474,1.1053,0.05,0.0619,1.2175,2,1,31,True,-1
20,31,Pseudografo-Dirigido,2,6506,2,1,0.0,6.6,11,73,0.2842,0.4737,0.05,0.0841,1.4927,3,2,31,True,2
50,0,Simples,2,8149,0,0,0.0273,38.36,46,959,0.7829,0.9388,0.02,0.0234,1.23,2,1,0,True,-1
50,1,Digrafo,1,5335,0,1,0.0011,16.16,22,404,0.3037,0.449,0.02,0.0403,1.698,3,1,1,True,-1
50,20,Multigrafo,1,6437,1,2,0.0032,28.36,36,1018,0.5788,0.7347,0.02,0.0246,1.4248,2,1,20,True,-1
50,20,Multigrafo,2,6438,2,0,0.001,5.28,12,153,0.1078,0.2449,0.02,0.0344,2.6921,11,8,20,True,2
50,21,Multigrafo-Dirigido,1,1376,2,1,0.002,11.96,27,388,0.1927,0.4082,0.02,0.0371,2.9007,12,9,21,True,3
50,21,Multigrafo-Dirigido,2,1377,2,0,0.0083,10.52,16,307,0.1918,0.2857,0.02,0.049,1.6374,3,2,21,True,2
50,30,Pseudografo,1,567,1,1,0.0,3.8,10,98,0.0776,0.2041,0.02,0.047,3.0284,6,7,30,True,-1
50,30,Pseudografo,2,568,2,2,0.0024,21.32,27,1191,0.4351,0.551,0.02,0.0233,1.1728,2,2,30,True,2
50,31,Pseudografo-Dirigido,1,693,0,0,0.003,52.32,67,1869,0.7943,0.898,0.02,0.0257,1.232,2,1,31,True,-1
50,31,Pseudografo-Dirigido,2,694,0,2,0.0,55.28,68,2019,0.8131,0.9184,0.02,0.0255,1.2248,2,1,31,True,-1
